epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1200.47,0.73537,0.4064,1.00982,0.98788,0.99586,0.99452,0.74585,1.11243,0.3811,1.33368,3.95937e-05,3.95937e-05,3.95937e-05
91,1213.95,0.69179,0.29332,0.98657,0.98303,0.99299,0.99131,0.74306,1.11405,0.38052,1.35978,3.6297e-05,3.6297e-05,3.6297e-05
92,1227.15,0.66883,0.28569,0.97317,0.98302,0.99337,0.99135,0.73727,1.11498,0.38094,1.35702,3.30003e-05,3.30003e-05,3.30003e-05
93,1240.31,0.65852,0.28126,0.9678,0.98436,0.99282,0.99147,0.73531,1.11808,0.3813,1.36211,2.97036e-05,2.97036e-05,2.97036e-05
94,1253.49,0.64552,0.27758,0.96315,0.98477,0.99602,0.99419,0.73939,1.11873,0.3802,1.36944,2.64069e-05,2.64069e-05,2.64069e-05
95,1266.72,0.64596,0.27788,0.96122,0.98306,0.99464,0.99185,0.7393,1.11245,0.38119,1.3562,2.31102e-05,2.31102e-05,2.31102e-05
96,1279.92,0.63925,0.27533,0.95791,0.98332,0.99454,0.99221,0.73991,1.11181,0.37962,1.36063,1.98135e-05,1.98135e-05,1.98135e-05
97,1293.11,0.63257,0.27313,0.95384,0.9841,0.99448,0.99234,0.74254,1.11739,0.37975,1.37008,1.65168e-05,1.65168e-05,1.65168e-05
98,1306.32,0.62901,0.27273,0.95234,0.98603,0.99591,0.99461,0.74107,1.11873,0.38038,1.37545,1.32201e-05,1.32201e-05,1.32201e-05
99,1319.61,0.62447,0.27142,0.95337,0.98559,0.99587,0.99456,0.7432,1.12004,0.38061,1.38177,9.9234e-06,9.9234e-06,9.9234e-06
100,1332.87,0.62069,0.26805,0.94614,0.98541,0.99591,0.99457,0.74011,1.11929,0.37951,1.37369,6.6267e-06,6.6267e-06,6.6267e-06
